offerId,model,organization,provider,apiModelId,status,inputPriceUsdPerMillion,cachedInputPriceUsdPerMillion,outputPriceUsdPerMillion,contextWindowTokens,maxOutputTokens,functionCalling,structuredOutputs,promptCaching,batchApi,lastVerifiedAt
offer-openai-gpt-5-6-sol,GPT-5.6 Sol,OpenAI,OpenAI API,gpt-5.6-sol,active,4,0.4,20,1050000,128000,true,true,true,true,2026-09-19
offer-openai-gpt-5-6-terra,GPT-5.6 Terra,OpenAI,OpenAI API,gpt-5.6-terra,active,2,0.2,12,1050000,128000,true,true,true,true,2026-09-19
offer-openai-gpt-5-6-luna,GPT-5.6 Luna,OpenAI,OpenAI API,gpt-5.6-luna,active,0.2,0.02,1.2,1050000,128000,true,true,true,true,2026-09-19
offer-openai-gpt-4-1,GPT-4.1,OpenAI,OpenAI API,gpt-4.1,active,2,0.5,8,1047576,32768,true,true,true,true,2026-08-02
offer-openai-gpt-4-1-mini,GPT-4.1 mini,OpenAI,OpenAI API,gpt-4.1-mini,active,0.4,0.1,1.6,1047576,32768,true,true,true,true,2026-08-02
offer-anthropic-claude-fable-5,Claude Fable 5,Anthropic,Anthropic API,claude-fable-5,active,10,1,50,200000,,true,true,true,true,2026-08-02
offer-anthropic-claude-opus-5,Claude Opus 5,Anthropic,Anthropic API,claude-opus-5,active,5,0.5,25,200000,,true,true,true,true,2026-08-02
offer-anthropic-claude-sonnet-5,Claude Sonnet 5,Anthropic,Anthropic API,claude-sonnet-5,active,2,0.2,10,200000,,true,true,true,true,2026-09-19
offer-anthropic-claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,Anthropic API,claude-sonnet-4-6,active,3,0.3,15,200000,,true,true,true,true,2026-08-02
offer-anthropic-claude-haiku-4-5,Claude Haiku 4.5,Anthropic,Anthropic API,claude-haiku-4-5,active,1,0.1,5,200000,,true,true,true,true,2026-08-02
offer-google-gemini-3-1-pro,Gemini 3.1 Pro Preview,Google,Google AI Studio API,gemini-3.1-pro-preview,preview,2,0.2,12,1048576,,true,true,true,true,2026-08-02
